6,8.422,4.127,8.142,10.077,7.5821,10.287,7.5821,14.277,0.51238,14.277,0.65237,4.057,0,0,0,0,0,0
4,0.65237,14.417,0.65237,20.296,7.5121,20.296,7.5121,14.417,0,0,0,0,0,0,0,0,0,0
4,0.44238,20.576,0.44238,25.546,5.3422,25.546,5.3422,20.576,0,0,0,0,0,0,0,0,0,0
4,5.5521,20.646,5.5521,25.476,10.382,25.476,10.382,20.646,0,0,0,0,0,0,0,0,0,0
4,5.5521,25.966,5.5521,31.706,10.522,31.706,10.522,25.966,0,0,0,0,0,0,0,0,0,0
9,5.3422,26.176,1.7723,25.966,1.5623,26.596,0.86236,27.156,0.86236,28.066,1.2823,28.416,2.1223,28.626,2.7523,27.716,5.1322,27.576
4,14.792,3.987,14.792,6.1569,21.301,6.1569,21.301,3.987,0,0,0,0,0,0,0,0,0,0
4,14.792,6.6469,14.792,9.5868,21.231,9.5868,21.231,6.6469,0,0,0,0,0,0,0,0,0,0
4,14.582,10.147,14.582,14.907,19.552,14.907,19.552,10.147,0,0,0,0,0,0,0,0,0,0
4,14.372,15.117,14.372,24.426,19.482,24.426,19.482,15.117,0,0,0,0,0,0,0,0,0,0
4,21.511,4.057,21.511,5.8769,24.941,5.8769,24.941,4.057,0,0,0,0,0,0,0,0,0,0
6,25.011,6.5069,24.801,14.907,19.901,14.837,19.762,10.287,21.511,10.147,21.651,6.5769,0,0,0,0,0,0
4,19.692,15.047,19.692,17.076,25.011,17.076,25.011,15.047,0,0,0,0,0,0,0,0,0,0
4,19.622,17.426,19.622,21.486,24.941,21.486,24.941,17.426,0,0,0,0,0,0,0,0,0,0
4,19.762,21.766,19.762,24.286,25.151,24.286,25.151,21.766,0,0,0,0,0,0,0,0,0,0
