8,1.3774,5.2831,1.2922,9.2466,3.892,9.2892,3.892,10.909,6.6196,10.994,6.5344,8.7778,4.9574,8.6073,4.9574,5.1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.0853,5.1126,5.0427,8.5647,6.4917,8.6926,6.577,8.0959,7.8555,8.0533,7.8129,5.1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.5115,3.6635,5.5115,5.1552,12.97,5.1552,12.97,3.6635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.8129,5.07,7.8129,9.5876,10.285,9.5876,10.285,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16.592,5.2404,10.242,5.1978,10.285,10.653,13.098,10.61,13.098,8.4795,16.592,8.5647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.7703,9.6728,7.7703,11.292,10.2,11.292,10.2,9.6728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13.012,8.5221,13.012,10.525,16.592,10.525,16.592,8.5221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.2496,9.2466,1.2496,10.951,3.892,10.951,3.892,9.2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.18411,11.122,0.18411,14.02,1.8463,14.02,1.8463,11.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.6196,11.037,6.577,12.741,5.8524,12.741,5.8524,14.489,1.8889,14.531,1.8889,11.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.86602,14.617,0.86602,17.472,5.8098,17.472,5.8098,14.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.73816,17.472,0.8234,19.347,3.5084,19.433,3.551,18.41,5.8524,18.41,5.8098,17.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.551,18.41,3.551,19.305,5.8524,19.305,5.8524,18.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.3867,13.509,7.3867,15.213,8.5374,15.213,8.5374,13.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11.436,10.696,11.35,12.912,9.816,13.04,9.9439,15.384,8.5801,15.469,8.6653,18.751,12.629,18.836,12.544,18.111,13.055,18.026,13.14,18.751,16.209,18.665,16.209,15,15.527,14.958,15.57,14.233,15.911,14.318,15.825,10.696
4,15.911,10.61,15.911,14.574,17.061,14.574,17.061,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
