4,5.1174,2.4339,5.1174,4.814,9.7984,4.814,9.7984,2.4339,0,0,0,0
4,5.038,4.814,5.038,7.1545,9.8777,7.1545,9.8777,4.814,0,0,0,0
4,4.562,7.0752,4.562,10.249,9.9174,10.249,9.9174,7.0752,0,0,0,0
4,8.0133,10.328,8.0133,11.24,9.9174,11.24,9.9174,10.328,0,0,0,0
4,16.622,9.257,16.622,12.986,21.263,12.986,21.263,9.257,0,0,0,0
4,15.907,9.257,15.907,12.867,16.542,12.867,16.542,9.257,0,0,0,0
4,15.828,7.8686,15.828,9.257,21.184,9.257,21.184,7.8686,0,0,0,0
4,15.907,3.4653,15.907,5.3298,18.129,5.3298,18.129,3.4653,0,0,0,0
6,15.907,0.29174,15.868,3.3463,17.217,3.386,17.217,2.8306,19.081,2.8306,19.041,0.17273
6,19.081,0.2124,19.121,2.7909,19.914,2.7909,19.954,3.3463,21.303,3.4653,21.263,0.2124
