4,10.832,4.7604,10.832,8.7762,13.788,8.7762,13.788,4.7604
4,9.123,4.7604,9.123,6.7256,10.849,6.7256,10.849,4.7604
4,9.123,6.7085,9.123,8.7933,10.866,8.7933,10.866,6.7085
4,9.1059,8.8104,9.1059,12.758,13.737,12.758,13.737,8.8104
4,3.6546,9.1009,3.6546,12.741,8.2685,12.741,8.2685,9.1009
4,5.4318,4.8288,5.4318,9.0667,8.2514,9.0667,8.2514,4.8288
4,3.6717,4.7946,3.6717,9.0326,5.4147,9.0326,5.4147,4.7946
4,1.1084,4.8288,1.1084,8.3319,2.9198,8.3319,2.9198,4.8288
4,1.1597,2.7952,1.1597,4.7433,2.9369,4.7433,2.9369,2.7952
4,3.6375,2.4535,3.6375,4.7091,5.8419,4.7091,5.8419,2.4535
