4,7.2791,2.9782,7.2791,11.398,11.207,11.398,11.207,2.9782,0,0,0,0,0,0,0,0,0,0
5,0.20816,3.0466,0.20816,7.3506,2.8043,7.2994,4.3073,5.7281,4.3244,2.9953,0,0,0,0,0,0,0,0
7,4.3244,3.0124,4.3073,5.7451,3.7266,6.2917,4.6659,7.214,5.8444,6.0184,7.245,6.0013,7.2621,2.9612,0,0,0,0
5,4.6659,7.2311,6.8009,9.3831,7.245,9.3831,7.2621,7.4702,5.8444,6.0355,0,0,0,0,0,0,0,0
5,0.20816,7.3506,0.20816,8.3412,2.8897,10.886,4.6489,9.2123,2.7872,7.3165,0,0,0,0,0,0,0,0
4,4.0169,9.8443,4.7172,10.545,3.5387,11.655,2.8726,10.937,0,0,0,0,0,0,0,0,0,0
4,4.0511,9.8101,4.683,10.51,5.3662,9.9467,4.683,9.1952,0,0,0,0,0,0,0,0,0,0
4,4.4268,12.509,5.2467,13.38,6.5105,12.184,5.6566,11.296,0,0,0,0,0,0,0,0,0,0
5,5.7249,11.296,6.5276,12.15,7.3133,11.381,7.2621,10.784,6.2714,10.732,0,0,0,0,0,0,0,0
9,5.3833,9.9126,2.8384,7.3335,3.7607,6.3258,6.8351,9.4343,7.245,9.366,7.2962,10.767,6.3056,10.749,4.4098,12.526,3.5387,11.689
