4,0.224,0.21472,0.224,7.1291,3.4794,7.1291,3.4794,0.21472,0,0,0,0,0,0,0,0,0,0,0,0
4,3.4794,0.24162,3.4794,4.0082,6.2236,4.0082,6.2236,0.24162,0,0,0,0,0,0,0,0,0,0,0,0
4,0.224,7.156,0.224,9.5236,4.0982,9.5236,4.0982,7.156,0,0,0,0,0,0,0,0,0,0,0,0
4,0.1971,9.5505,0.1971,11.703,4.3672,11.703,4.3672,9.5505,0,0,0,0,0,0,0,0,0,0,0,0
4,5.5241,7.6134,5.5241,9.8464,7.4881,9.8464,7.4881,7.6134,0,0,0,0,0,0,0,0,0,0,0,0
4,5.4703,5.3803,5.4703,7.5596,7.4612,7.5596,7.4612,5.3803,0,0,0,0,0,0,0,0,0,0,0,0
5,6.1967,0.18781,6.2236,3.9544,8.8602,4.0351,11.309,3.4701,10.932,0.24162,0,0,0,0,0,0,0,0,0,0
6,7.4881,4.0351,7.4881,7.5596,9.0755,7.5326,11.954,6.6717,11.362,3.5239,8.7795,4.0351,0,0,0,0,0,0,0,0
10,4.0175,7.1291,4.0713,9.5236,4.3941,9.4967,4.3134,11.084,6.2505,11.084,7.2729,12.833,8.6988,11.891,7.4612,9.9002,5.4703,9.8733,5.4165,7.1291
4,4.0444,5.4072,4.0444,7.1022,5.3896,7.1022,5.3896,5.4072,0,0,0,0,0,0,0,0,0,0,0,0
4,4.152,4.062,4.152,5.3803,7.4343,5.3803,7.4343,4.062,0,0,0,0,0,0,0,0,0,0,0,0
