7,4.3949,7.645,4.3547,11.467,8.6598,11.266,8.7805,9.8982,9.6254,10.059,9.5852,7.5645,4.3144,7.6852,0,0,0,0,0,0,0,0,0,0
12,4.3547,11.347,4.4351,15.652,6.6078,15.692,6.6078,14.767,7.2516,14.686,7.2918,14.404,7.9758,14.324,7.9758,14.726,8.4184,14.726,8.4586,13.399,7.0102,13.399,7.0102,11.306
4,4.3547,15.652,4.3547,20.681,9.7864,20.681,9.7864,15.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.21046,3.4203,0.17023,7.7657,3.0269,7.7657,3.0269,6.1563,4.3949,6.1161,4.3949,3.3399,0.2507,3.3801,0,0,0,0,0,0,0,0,0,0
4,0.17023,7.6048,0.17023,10.019,3.1879,10.019,3.1879,7.6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.21046,9.9384,0.21046,12.433,3.1879,12.433,3.1879,9.9384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11.154,7.6048,11.154,10.944,14.776,10.944,14.776,7.6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11.074,15.853,11.074,20.601,16.425,20.601,16.425,15.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.0102,11.306,7.0102,13.318,8.7,13.318,8.7,11.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6.5274,14.807,6.5274,15.612,8.4184,15.612,8.4989,14.807,8.016,14.686,7.8149,14.404,7.2516,14.364,7.2113,14.807,0,0,0,0,0,0,0,0
4,11.235,11.025,11.195,13.117,13.086,13.157,13.045,11.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
