8,0.2604,3.7217,0.27732,10.32,4.9639,10.337,4.9977,10.861,6.9772,10.861,6.9603,4.6353,3.0013,4.6692,3.0351,3.671
6,6.9434,4.6353,6.9265,10.861,8.1785,10.861,8.1615,8.2221,10.107,8.1883,10.141,4.6523,0,0,0,0
6,10.124,4.6523,10.124,8.8481,12.036,8.882,12.087,10.997,13.322,11.014,13.288,4.6015,0,0,0,0
6,13.288,4.6184,13.288,11.031,14.878,11.014,14.861,9.2542,17.924,9.2542,17.839,4.6184,0,0,0,0
4,8.1615,8.2221,8.1615,10.845,10.107,10.845,10.107,8.2221,0,0,0,0,0,0,0,0
4,10.124,8.8651,10.124,11.538,12.104,11.538,12.104,8.8651,0,0,0,0,0,0,0,0
4,14.878,9.2711,14.878,12.08,17.822,12.08,17.822,9.2711,0,0,0,0,0,0,0,0
4,15.2,12.147,15.2,13.129,17.822,13.129,17.822,12.147,0,0,0,0,0,0,0,0
4,0.27732,10.303,0.27732,12.672,4.9639,12.672,4.9639,10.303,0,0,0,0,0,0,0,0
4,5.0146,10.895,5.0146,13.653,9.515,13.653,9.515,10.895,0,0,0,0,0,0,0,0
6,12.121,11.944,12.087,11.031,14.845,11.031,14.828,13.162,9.5489,13.112,9.5827,11.91,0,0,0,0
