4,2.2744,6.0263,2.2744,8.9663,6.3544,8.9663,6.3544,6.0263,0,0,0,0,0,0,0,0,0,0,0,0
4,0.2344,6.0463,0.2344,8.1263,2.2944,8.1263,2.2944,6.0463,0,0,0,0,0,0,0,0,0,0,0,0
4,3.9544,9.0063,3.9544,11.306,6.3944,11.306,6.3944,9.0063,0,0,0,0,0,0,0,0,0,0,0,0
9,1.0944,9.0263,0.4944,9.5063,2.0544,10.706,1.6144,10.966,1.5944,12.846,2.5944,12.906,2.5944,12.146,3.9144,11.286,3.9144,9.0263,0,0
7,2.6744,12.186,2.6544,15.726,3.8744,15.766,3.8144,18.766,6.3944,18.806,6.3544,11.346,3.9744,11.326,0,0,0,0,0,0
10,12.574,6.0063,12.574,8.0063,10.614,8.0063,10.634,9.2063,11.814,9.2063,11.814,14.126,13.054,14.166,13.074,16.766,15.714,16.766,15.614,6.0663
4,9.7344,6.0663,9.7344,8.0263,12.594,8.0263,12.594,6.0663,0,0,0,0,0,0,0,0,0,0,0,0
6,7.3144,6.6463,7.3144,8.9663,9.1344,8.9663,8.7144,8.2863,9.6744,7.7463,9.6744,6.6463,0,0,0,0,0,0,0,0
6,7.3344,8.9463,7.3144,10.166,8.4144,10.186,8.4144,10.766,9.4944,10.806,9.5744,8.9863,0,0,0,0,0,0,0,0
9,9.6944,7.7463,8.7144,8.3063,9.1144,8.9063,9.5144,8.9663,9.4944,13.826,11.794,13.926,11.834,9.2063,10.654,9.1663,10.654,7.8063,0,0
