6,3.7801,0.97826,3.7801,4.6043,7.5865,4.5878,7.5537,3.2917,7.0287,3.3081,7.0123,0.92904,0,0,0,0
4,4.1574,4.6371,4.1574,6.5403,6.5857,6.5403,6.5857,4.6371,0,0,0,0,0,0,0,0
6,4.4364,6.5895,4.4035,8.3615,6.0935,8.3779,6.0771,7.5247,6.9959,7.5083,6.9959,6.5731,0,0,0,0
6,4.0918,8.3779,4.1574,12.808,6.9959,12.873,6.9959,7.5575,6.0607,7.5083,6.1263,8.3779,0,0,0,0
4,7.0287,8.6568,7.0287,12.808,9.4241,12.808,9.4241,8.6568,0,0,0,0,0,0,0,0
4,7.0451,0.96186,7.0451,3.3901,9.4241,3.3901,9.4241,0.96186,0,0,0,0,0,0,0,0
8,7.5701,3.3737,7.5701,4.5386,6.5693,4.5714,6.5365,6.5731,6.9795,6.5731,6.9631,8.6404,9.457,8.6404,9.4405,3.3901
4,10.884,0.96186,10.884,3.4886,14.199,3.4886,14.199,0.96186,0,0,0,0,0,0,0,0
4,10.901,3.4722,10.901,6.4911,16.61,6.4911,16.61,3.4722,0,0,0,0,0,0,0,0
4,10.999,6.5239,10.999,11.151,16.61,11.151,16.61,6.5239,0,0,0,0,0,0,0,0
4,10.835,11.282,10.835,12.923,16.693,12.923,16.693,11.282,0,0,0,0,0,0,0,0
