4,3.3792,0.24948,3.3792,7.7693,8.1104,7.7693,8.1104,0.24948
4,0.15194,0.24948,0.15194,5.482,3.4105,5.482,3.4105,0.24948
4,0.15194,6.422,0.15194,7.7693,2.3452,7.7693,2.3452,6.422
4,0.18327,7.738,0.18327,9.5239,1.5619,9.5239,1.5619,7.738
4,0.62193,10.965,0.62193,11.905,2.3766,11.905,2.3766,10.965
4,0.24594,11.905,0.24594,14.349,3.4419,14.349,3.4419,11.905
4,3.4105,7.832,3.4105,14.287,8.1104,14.287,8.1104,7.832
4,9.3011,7.2367,9.3011,10.652,11.432,10.652,11.432,7.2367
4,12.497,7.2053,12.497,10.715,17.197,10.715,17.197,7.2053
4,12.528,10.746,12.528,14.318,17.197,14.318,17.197,10.746
4,9.2697,10.621,9.2697,12.375,11.212,12.375,11.212,10.621
