4,0.28448,14.594,0.28448,16.115,2.313,16.115,2.313,14.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.313,13.411,2.313,16.091,1.6852,16.091,1.661,17.999,0.64672,17.975,0.64672,20.342,3.9794,20.269,4.0035,18.772,5.9113,18.748,5.8872,17.806,8.3263,17.806,8.3746,20.704,12.915,20.68,12.891,13.386
6,4.0277,18.772,5.8389,18.796,5.863,17.878,8.3021,17.878,8.3504,20.631,4.1001,20.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.313,10.368,2.313,13.386,12.891,13.362,12.939,20.728,14.774,20.824,14.774,10.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.3515,1.0219,3.3515,5.8276,8.8817,5.8276,8.8817,1.0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8.93,1.0219,8.93,5.8518,13.784,5.8518,13.784,1.0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.3515,5.8759,3.3515,7.9045,5.7181,7.9045,5.7181,5.8759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11.297,5.8518,11.297,8.0977,13.76,8.0977,13.76,5.8518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10.596,5.9001,10.596,8.0735,11.297,8.0735,11.297,5.9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.7181,5.8518,5.7181,8.0011,10.524,8.0011,10.524,5.8518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
