4,0.20125,5.2583,0.20125,10.053,3.2834,10.053,3.2834,5.2583,0,0,0,0,0,0,0,0
4,3.2834,5.2354,3.2834,8.4774,6.0231,8.4774,6.0231,5.2354,0,0,0,0,0,0,0,0
4,4.151,8.4318,4.151,9.9614,6.0688,9.9614,6.0688,8.4318,0,0,0,0,0,0,0,0
4,0.17842,10.076,0.17842,11.651,3.3291,11.651,3.3291,10.076,0,0,0,0,0,0,0,0
8,0.6807,13.911,0.65787,17.176,1.2286,17.13,1.9364,17.975,3.4889,17.907,4.1282,17.176,4.5619,17.199,4.5391,13.797
4,4.6076,13.82,4.6076,17.176,6.2286,17.176,6.2286,13.82,0,0,0,0,0,0,0,0
4,11.754,6.4911,11.754,10.144,14.174,10.144,14.174,6.4911,0,0,0,0,0,0,0,0
4,8.8541,13.318,8.8541,16.537,14.242,16.537,14.242,13.318,0,0,0,0,0,0,0,0
4,8.5117,6.514,8.5117,11.651,11.754,11.651,11.754,6.514,0,0,0,0,0,0,0,0
4,8.5345,11.674,8.5345,13.249,11.023,13.249,11.023,11.674,0,0,0,0,0,0,0,0
6,0.20125,11.719,0.24692,13.432,4.2195,13.455,4.1966,8.5231,3.2834,8.4089,3.3747,11.628,0,0,0,0
